place_id,rating_rev,text
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,5,Good test and good price.
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,5,The best Fried rice in Madrid!
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,5,Very good place! Excellent food and super friendly waiter! The delicious pork rinds 👌🏼 We will repeat!
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,1,"I'm sorry for the negative comment but I didn't like the seasoning at all, starting with the empanadas that we ordered as a starter, an open mess that was overcooked and oily, the rice was over salted, the chop I ordered was bitter not to mention damaged, the flavor was horrible, they changed it to veal and I don't know if it was the kitchen's displeasure of complaining that they put sea salt in excess, the rocks of salt were felt and the veal was inedible, in the aguapanela they don't put lemon, only ice water and a little sweet, needless to say, I'm not that demanding when it comes to eating but unfortunately I don't give it a single star, on the other hand as advice they should do a pest fumigation because there are cockroaches.

The only rating with about 3 stars is the attention of the waiter who was very polite and had good service, but the rest was terrible, even in the payment they made to us, they overcharged us. 😠"
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,1,"I am very sad to post this review because the food there is very good, but the delivery service today has been terrible.
We placed an order at 2:50 p.m. and they gave us a 45-minute wait, an hour and a half passed and we called and they told us that in less than 10 minutes we had the order at home. We waited until two hours and called again and they told us that it was in delivery and supposedly they had many orders. We understood and waited. Three hours have passed and nothing has arrived. We waited because they told us it was going to arrive, but if the intention was not to bring it, at least they should tell us and not make us wait so long, but not even that."
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,1,"The food was terrible, the rice and the salty broth. We also ordered a valluna chop and it was just the chop with fries, I don't know where you've seen that that's the valluna chop... and the service wasn't very good either..."
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,2,"The food is phenomenal 10/10, but wait more than an hour!!! For them to bring it to you a few blocks away damages the entire service, it's a shame."
ChIJg3YXO4onQg0Rgz3d6I04Dcw,5,"Es un sitio singular, muy particular, maravilloso. Espectacularmente atendido por un matrimonio donde se percibe l pasión por su trabajo en cada detalle. La comida muy elaborada y de calidad superior, la presentación maravillosa y los sabores y mezclas sublimes.
Todo esto acompañado de un ambiente cercano y personalizado al máximo. Salimos encantados y volveremos sin duda, con amigos, familia y por supuesto en pareja, como en esta ocasión. Muy recomendable."
ChIJg3YXO4onQg0Rgz3d6I04Dcw,5,"Spectacular. The restaurant in terms of quality-price is unbeatable. We have eaten the tasting menu and we loved ALL the dishes. A lot of mix of flavors, textures... without a doubt an experience that has surprised us a lot. We will return for sure. 100% recommended!!!!"
ChIJg3YXO4onQg0Rgz3d6I04Dcw,5,"A small site located near the Vistalegre palace. It is advisable to reserve in advance, possibility of choosing suggested dishes with the reservation. They ask before eating if there is anyone with allergy or intolerance problems to edit the menu. Instead of giving the menu, the chef makes recommendations once at the table and it is advisable to go with the flow, it does not fail. A very varied assortment of starters and then a selection of slightly more consistent dishes. The staff is very attentive and constantly attentive to what you need. Good product and very elaborate dishes that justify the slightly high price. We will return to try more variety."
ChIJg3YXO4onQg0Rgz3d6I04Dcw,5,"We really enjoyed the experience. Great service and delicious food. We arrived late for the reservation because a show we were in ended later than planned and they still treated us spectacularly, they waited for us and also gave us a 10-rated service. Without a doubt, we will return!"
ChIJg3YXO4onQg0Rgz3d6I04Dcw,5,"Spectacular!
I'll start by saying that I found this place by chance, we had an event at the Palacio de Vista Alegre and I was looking for a place to eat before, looking on Google I found this one, and the reviews caught my attention, so I called.
At first they told me it was full, but after a while they called me to inform me that there was a cancellation in case I was still interested, so I booked.
When you arrive the place does not attract much attention, it is very small and familiar, but the staff is very friendly and pleasant, the table is very well prepared and you immediately feel at ease.
We let ourselves be carried away by the suggestions of the day, all homemade food prepared by themselves and that changes depending on the day.
Everything was great, very tasty, and very careful with the details.
The price is a little higher than average but it is definitely worth it.
We will return!"
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,4,"Very relaxing, cool AC in the summer, I like the second story, usually less crowded than the ground floor.. and the fact that they have an indoor playground on the -1 floor, is also nice, makes the 2nd story even better and more relaxing.. 😉"
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,4,Quick order and not too populated.Distance is observed and interior seating condoned off according to rules. Can be recommended fora quick bite if you are in the hood.
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,5,"Everythimg was excellent, great customer service, nice people, great location, confortable table and chair. I will comeback soon. I like having breakfast, lunch and dinner and drink soda in McDonald's."
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,3,"It was nice because they had warm / hot food which is rare in McDonald's, but the atmosphere is very poorly made. The service was great and they helped alot"
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,3,Customer waiting for order without mask. Young teens very noisy and disrespectful. Not sure staff can do much. Staff good.
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,5,"Best kebab in Madrid, I always come back seriously"
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,1,Fatal.
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,5,"The staff are very nice, the prices are crazy, the Quality-Quantity-Price (it seems that you are scamming them because of how good it is and the size of the double dürum for only €7), and the Kebab is the best in all of Madrid; The meat is delicious, the sauces and vegetables are fresh, and the pitas and breads are amazing."
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,5,"Very clean place, with air conditioning. The meals we ordered were great, the kebab was delicious, well made, the bread was well toasted and the sauces did not wet the bread to the point of breaking it, like in other kebabs.
The kebab dish was very delicious too.
The girl who serves at noon is very nice, today we came at the last minute for dinner and two boys waited on us, also very attentive and polite.
I have come several times and I have always eaten well and received better service.
Thank you so much"
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,1,"Two menus of durum and five pieces of chicken have been ordered. The durums were decent, but the chicken pieces were almost inedible. The food made us nauseous after consuming it."
ChIJrR2UeIonQg0RaQZKEblaI3c,4,"It seems to be good. Food quality  is Okey and the cappuccino size is huge. Maybe more menu options or ""free"" composition would be nice."
ChIJrR2UeIonQg0RaQZKEblaI3c,5,"Great, very clean. Friendly staff couldn’t ask for more"
ChIJrR2UeIonQg0RaQZKEblaI3c,5,Good place to have a quiet chat with friends. And the servers are quite friendly too. Nice!
ChIJrR2UeIonQg0RaQZKEblaI3c,4,I had the chicken and honey mustard focaccia and  it was great. The place is quiet and cozy.
ChIJrR2UeIonQg0RaQZKEblaI3c,5,Delicious sandwichs with the gastronomy of Spain
ChIJB0rQuReIQQ0RTKKmf5KQCiI,3,"Curious place that has a tapas menu where each person chooses theirs for each drink. The tapas are quite good and with a few you will go home eaten. The place has two floors although it is somewhat small. As for tapas, I recommend the hamburger and the fajitas. In summer you can have drinks on its small terrace."
ChIJB0rQuReIQQ0RTKKmf5KQCiI,5,"We met him with a promo from the Boletus app, for which 2 hamburgers and 2 half-liter jugs of beer were €7.99. Excellent service, very delicious burgers and the place is cool.
It has 2 areas, some tables next to the bar and a chillout area downstairs.
Also for 2 euros you can have a beer and choose from a list of large, quality tapas and toasts, Granada style.
We liked it a lot!"
ChIJB0rQuReIQQ0RTKKmf5KQCiI,1,"The first thing is a pub with siesta music. We went to dinner for some ""maxi"" hamburgers and they served me a tiny, lousy hamburger (the worst I've ever had in my life).
Because of how bad and small it was, we then went to a McDonald's to finish dinner and it tasted delicious.
To make matters worse, instead of putting some potatoes or salad to accompany that poorly made and poor hamburger, THEY PUT US 1 MISERIOUS NACHO CHOPPED INTO A THOUSAND PIECES.
Please, if you don't know how to cook, or work, and don't even want to work (they are only open 2 hours a day, 3 days a week), ask someone who knows how and wants to work for help, or close it.
SHAME!!!!!"
ChIJB0rQuReIQQ0RTKKmf5KQCiI,4,"Cool place, they have a tapas menu to choose from, amber export beer that is delicious and a downstairs where you are very comfortable and at ease."
ChIJB0rQuReIQQ0RTKKmf5KQCiI,4,"a good place to have some beers with a good aperitif (tapa), friendly service, quiet atmosphere, IT IS NOT A NEIGHBORHOOD BAR, it is a place to go with friends and enjoy a good atmosphere."
ChIJBTOd9IonQg0RYysAPP2odOE,5,"Had the carne empanadas and they were the best I've had! They were super tasty and filled with the perfect amount of meat.

The best part was the owner was super nice and very welcoming. You can tell a lot of locals come here because of how he was talking to all the clients. If you're in Madrid, I highly recommend coming here. I know its not in center city, but its a short train ride away."
ChIJBTOd9IonQg0RYysAPP2odOE,4,"Delicious!! I am Colombian and getting empanadas away from home is hard!
Visit them in the Cebada Market!! A taste of home away from home!
Amazing dishes.
They also have a second place in Madrid!"
ChIJBTOd9IonQg0RYysAPP2odOE,4,Love me some 1€ Colombian empanadas.. throw in a Postobón and I'm sold.. 😋
ChIJBTOd9IonQg0RYysAPP2odOE,5,"This small bistro stole my heart. 😊Run by a very friendly, real Colombian who helped us to some great food. Wish we had found it on our first day in Madrid, for we surely would have gone there every day. Thanks and hope to come back to Madrid and to this great ‘Museo’"
ChIJBTOd9IonQg0RYysAPP2odOE,5,Empanada Bolivian was the winner
ChIJR6XykD2IQQ0RUw1ExsE5vG0,5,"The food and service here is incredible! The portions are large, delicious and well priced! €5.50 for the special house fried rice. I would definitely come here again. They have so many dishes to choose including seafood. They even stayed open slightly longer for us as we finished the food. The actual restaurant isn’t fancy, but the food and service Definitely makes up for it. I like the simpleness of the restaurant."
ChIJR6XykD2IQQ0RUw1ExsE5vG0,5,This place was amazing. The quality and quantity of the food for the price is exceptional. Would definitely recommend.
ChIJR6XykD2IQQ0RUw1ExsE5vG0,5,👍🏻good
ChIJR6XykD2IQQ0RUw1ExsE5vG0,2,"I ordered delivery, the chicken sauce with lemon was acidic, the sweet and sour sauce had lumps, tasted like water and was not liquid. And the dough of the rolls is super chewy, in addition to being full of oil on the bottom."
ChIJR6XykD2IQQ0RUw1ExsE5vG0,4,"I ordered delivery (menu for two people) and I liked the food, they are large portions, well prepared and with good flavor, although it is true that the spring rolls were a little greasy.
The telephone service is very good, a friendly and cordial girl, although unfortunately the same cannot be said about the home employee, quite rude, bordering on rudeness 😠"
ChIJZzwA1z2IQQ0Rx97loDY1yIo,5,The food was very delicious and the waiters were very attentive and friendly. Thank you
ChIJZzwA1z2IQQ0Rx97loDY1yIo,1,"A horrible experience.  When ordering the menu of the day he informs me that the sign displayed does not correspond because he has forgotten to change it, he tells us that already with the drinks served. The paella smelled terrible, we said it and the waiter told us that the rice didn't smell bad, ""if anything, the seafood.""
To which we had to request a different dish.
Some meatballs had a bad taste and when cut into pieces, they had a different color.
Obviously we will not return and we do not recommend it, if you are careful you will not get sick."
ChIJZzwA1z2IQQ0Rx97loDY1yIo,1,"We have ordered a portion of paella to take away, they also give it to you with half a loaf of bread and half a lemon. When we got home we realized that it was bad: stale and stuck rice and smelly meat and seafood. Directly into the trash, because if we eat it we'll still go to the hospital. Unfortunate and quite dangerous. At least we ate the bread."
ChIJZzwA1z2IQQ0Rx97loDY1yIo,5,"One of the best places I've ever been.
Their paella is delicious, and the torrijas...I repeat."
ChIJZzwA1z2IQQ0Rx97loDY1yIo,1,"I went to breakfast and ordered toast with oil and tomato. The olive oil for the toast was in an unlabeled container, we did not know the origin. The waiter was very upset when we asked him about it.
We only drink coffee. We do not consume the toasts.
We were charged for the full breakfast.
We will not return."
ChIJe1P_IvUnQg0RD1qaMeLbo5E,4,Good place for Indian food..
ChIJe1P_IvUnQg0RD1qaMeLbo5E,1,"Little to demand for the price, but even so their attention leaves a lot to be desired, likewise the ""durum"". And I say durum because it was what I intended to eat, I ordered it to take away, when I got home to find a piece of bread with all lettuce. Disappointing. I don't recommend the place, and if you go, pay attention to how they prepare it."
ChIJe1P_IvUnQg0RD1qaMeLbo5E,5,
ChIJmee0CCaIQQ0RmSOyOYB9J-0,5,"Menu del día is incredible, you eat fantastic food for this small price. Yesterday I ate there the best ""bacalao en horno"" imaginable. For dessert I like their panna cotta a lot."
ChIJmee0CCaIQQ0RmSOyOYB9J-0,5,Eaten here on several occasions and the service is second to none as well as the quality of food and wines. Always visit when on my holidays to Madrid.
ChIJmee0CCaIQQ0RmSOyOYB9J-0,5,Very popular in the area. Gets full during lunch time. Better to book a table before going or you will have to wait in line.
ChIJmee0CCaIQQ0RmSOyOYB9J-0,5,I absolutely love the place. Wonderful menu and wonderful service. Portions are quite sizeable.
ChIJmee0CCaIQQ0RmSOyOYB9J-0,5,Best food ever not the services
ChIJC4d6HB6IQQ0RyVATdPKJDPI,3,Cheap and cheerful. Wide selection of food available. Very quick service.
ChIJC4d6HB6IQQ0RyVATdPKJDPI,4,Ok
ChIJC4d6HB6IQQ0RyVATdPKJDPI,5,"Great atmosphere, super friendly and friendly and the food was very delicious, the octopus especially, it took a while to come out but it was worth it."
ChIJC4d6HB6IQQ0RyVATdPKJDPI,5,"Good portions, well prepared and tasty. Very good squid, tender and homemade meatballs. Good and well-made homemade omelet, red summer beers, well-attended terrace... And everything is well priced! I won't say more"
ChIJC4d6HB6IQQ0RyVATdPKJDPI,5,"We always come here with friends and we love it. The cheapest beers in Madrid and the very cheap, delicious and generous portions. Plus, now with the good weather, the terrace is really cool."
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,1,"I ordered delivery and it arrived cold, but what seems most serious to me is that the pieces of chicken were hardened, other pieces were burnt, the sauce was very watery, the lettuce was stale, the onion was the only thing that was saved, the potatoes were better than the durum.  I won't order again."
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,1,"It is a disgrace of a kebab, that this kebab dish costs €11, which is a portion for a 5-year-old child. I would never order again from this kebab. You are a shame."
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,1,"Anymore! I ordered 1 falafel durum and Turkish pizza through globo. They call me to say they don't have pizza and I tell them okay, no pizza. They offer me another kebab and I say no. Obviously the payment should have been corrected.
I receive the order (from glovo) and what do I find? Two falafel durum. Cold, watery and with 2 kg of lettuce. Not to mention the fries, which apart from coming cold, were terrible.
The worst Turkish restaurant I have ever tried. I can't explain how it was cold if it took about 20 minutes from when I placed the order until it arrived.
The glovo service is excellent, it must be said."
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,1,"I don't give less stars because there aren't any, €11 mini 10 centimeter plate, almost empty.
I ordered at home.
The worst thing is that they have no contact number to complain."
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,1,"I just ordered by balloon, the truth is that the delivery man was charming, but the food leaves a lot to be desired.
If you don't want to go hungry, don't order. There were 15 potatoes counted and asking for extra of something so they don't give it to you is giving away the money.
Never again!"
ChIJCYhIuCKIQQ0RHroP85TSwlw,5,"The food is delicious and the waitress is friendly. Further, the price is quite charming!"
ChIJCYhIuCKIQQ0RHroP85TSwlw,5,Excellent service
ChIJCYhIuCKIQQ0RHroP85TSwlw,5,"Mainly to say that it is my favorite Asian food restaurant, I have been going since I was a child, the staff that works there is super close and friendly, the food is super good, I advised ordering the Peking duck, the kubak with shrimp and if you want to go crazy, order the flamed banana for dessert, it is super good, (really
everything is delicious, but those are spectacular, at least for me) it is a place that is usually quite full but that is always a good thing, sometimes you have to wait a little but it is honestly worth it, it is also a very clean place and the service they offer is fast, I definitely recommend it!"
ChIJCYhIuCKIQQ0RHroP85TSwlw,4,"A good restaurant in Aluche. The truth is that good quality-price; With a plate to share and one each you are pretty good (depending on what you eat). They have vegan options and can adapt it. Very nice staff. The place is spacious, being Saturday we did not need to reserve."
ChIJCYhIuCKIQQ0RHroP85TSwlw,1,"Food in poor condition, tasteless and stale. Made three days ago.
We called and they sent a delivery man to check that we hadn't eaten the food.
They took away the bad food after an hour of waiting and half eaten (I hope they don't serve it to anyone else, I don't understand why have a delivery man come to pick up food in bad condition but good), they refunded us for part of the order (miscalculated by the way) and on top of that they charged us for the bag that they took back. what a joy"
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,5,"Very good restaurant, the food is delicious and made with first class ingredients. Staff is nice and friendly. They have seafood, fish and meat specialities but i also loved the dessert."
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,2,"Never seems open in my experience. At noon, we are informed of the different timetable pinned to the door, a little problem about updating, so we left peacefully. But at night we arrived just at 21:00, waited and waited and knocked and knocked, there was no answer at all. Please be polite to avoid girls out waiting in rain for at least 15 minutes without checking. I’m giving this score out of generosity by keeping reminding myself of the kind smile of a staff working there this noon."
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,5,"One of the best seafood you can get, quality really good, the octopus was super good. Also the waiters are humble. Thanks a lot."
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,5,"About 10 miles outside Madrid center but worth the trip. An amazing place with a nautical theme;
the service is exceptional
and food is wonderful. The menu is extensive. I had grilled
lamb chops,  served with roasted potatoes; delicious."
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,4,Great Food! Great Service! A hidden gem that's been around for years!!
ChIJKZpPYYknQg0Rk5aIvfTJWqI,3,"My partner loved her food. But unfortunately mine was not very pleasant. My bun fell apart from the moment I picked up the burger. Probably from the amount of water and juice it soaked up from the lettuce. Which, for some reason, was at the bottom of the burger?
I don't know - maybe it was just a one off mistake.
Otherwise, a great experience with some tasty drinks! The wine here was some of the best my partner had ever tried and cost very little - 3 large glasses came to around €7.50."
ChIJKZpPYYknQg0Rk5aIvfTJWqI,4,"Nice place
Good music. The food is okey but a bit xpensive."
ChIJKZpPYYknQg0Rk5aIvfTJWqI,5,"Brilliant menú del día. Lots of choice and it was delicious. Brilliant service: extremely friendly and helpful. Glad to have found this place so close to my work, will be repeating."
ChIJKZpPYYknQg0Rk5aIvfTJWqI,4,"Not too expensive, with generous portions. Try the ""parrillada de verduras"" and some of their egg pans. Ideal for summertime, when you can sit outside."
ChIJKZpPYYknQg0Rk5aIvfTJWqI,3,"Not bad, but also not good. Service is slow, very slow."
ChIJOYTDEYonQg0Rm0H0F6qXd5k,5,Good people friendly stuff and delicious pizza
ChIJOYTDEYonQg0Rm0H0F6qXd5k,5,Cool
ChIJOYTDEYonQg0Rm0H0F6qXd5k,4,You could sit in at a Domino's. Helpful people. Same pizza in Madrid as at home!
ChIJOYTDEYonQg0Rm0H0F6qXd5k,3,"The best is the promotion, eat & drink all that you want."
ChIJOYTDEYonQg0Rm0H0F6qXd5k,4,"Great pizza, but needs better cleaning"
ChIJDwocnxWIQQ0R0glU-BIhMPM,3,"Just like other times we have been very comfortable, this time it has been unpleasant. They allow smoking with the tent closed, which in addition to not being legal is disgusting. The service is still very good, the food is not bad but I will consider going more times as long as the tent is closed and they continue to allow smoking."
ChIJDwocnxWIQQ0R0glU-BIhMPM,5,"In terms of attention and cleanliness, very good.. in terms of food, it is also recommended.. good presentation of the dish.. and abundant portion of flavor. .. it exceeds the average... menu of the day for less than 12 euros... with first and second drinks and dessert included... the very nice waiter (Honduran).."
ChIJDwocnxWIQQ0R0glU-BIhMPM,5,"I went with a friend to have something to drink and we couldn't stop seeing dirty dishes passing by until we decided on the wings with barbecue sauce. They came with potatoes and the portion was very generous, we couldn't order more because we ended up full. Furthermore, they were very good and the service was also very good, 100% recommended."
ChIJDwocnxWIQQ0R0glU-BIhMPM,4,"The food is very good, I recommend the wings. The treatment by the waiters was also very good. They are very friendly. The only downside, inside the place they had the music at full volume."
ChIJDwocnxWIQQ0R0glU-BIhMPM,1,"We were having something and they only knew how to bring us the bill, when we had not even asked for it with the intention of kicking us out, if they do not know how to manage the tables they have, it is not the customer's problem, a disastrous attitude, on top of that we asked for the complaint form and they also denied it to us"
ChIJy5v49IsnQg0RHqRXGqA50OY,5,Great spot🍺
ChIJy5v49IsnQg0RHqRXGqA50OY,5,Rexomendable
ChIJy5v49IsnQg0RHqRXGqA50OY,5,"The place is good to eat or have a drink. They have good portions and it is not expensive. It is next to the Vista Alegre palace, so it is very good if you go to an event. And the owner is very nice."
ChIJy5v49IsnQg0RHqRXGqA50OY,4,"Quiet place, where you can dine or eat at a good price-quality. It has a terrace and it is very good."
ChIJy5v49IsnQg0RHqRXGqA50OY,1,"They serve wine from open bottles without corks and I saw how the waiter blew his nose behind the bar on the floor, sticking his finger in on one side and blowing his nose to throw the snot on the floor."
ChIJ0auhEiaIQQ0RGFGKGaE3pU4,5,My favourite Chinese restaurant in Madrid
